player,degree,pagerank,degree_centrality,eigenvector_centrality,clustering_coeff,community,matches_played,avg_kills,win_rate
aez,25,7.776795336926666e-05,0.0028434940855323024,8.913976375296669e-06,0.007501934360018085,8,10,13.0,0.5
af0,19,3.3233496583449584e-05,0.0021610555050045497,1.8257312090550333e-07,0.005159031439218675,16,3,18.0,0.6666666666666666
affe,9,3.0512234115203337e-05,0.0010236578707916288,8.353212765836963e-07,0.0046083888124331795,4,1,10.0,0.0
affect,9,1.931667306163511e-05,0.0010236578707916288,0.00032118301964694374,0.008137033073956794,1,1,7.0,0.0
afoxx,172,0.00038924944804613935,0.019563239308462238,9.884790051558777e-05,0.003328101114874036,3,98,15.714285714285714,0.6020408163265306
afr0nfire,9,1.92604582234313e-05,0.0010236578707916288,3.5205956646635937e-06,0.011430273866716464,10,1,9.0,1.0
afterglow,20,5.969257319406325e-05,0.002274795268425842,2.1953824769977607e-07,0.00846768570007221,2,8,11.875,0.375
agb,29,3.5072257743605266e-05,0.0032984531392174707,0.0012355678033819171,0.005423132722101047,1,6,7.833333333333333,0.0
agentgorilla,14,2.9041463089445634e-05,0.0015923566878980893,0.00024590999511209835,0.004311368653467307,1,2,9.0,0.0
agility,184,0.00021384734236845916,0.020928116469517744,0.010025953897780493,0.0032612389175063062,1,63,13.396825396825397,0.38095238095238093
agm,460,0.000851816612033806,0.05232029117379436,0.09482833535202954,0.004105106906000664,1,305,14.363934426229509,0.6459016393442623
agma,35,8.138319881659692e-05,0.003980891719745223,6.911960241223135e-06,0.005643577594717216,16,12,14.25,0.4166666666666667
agnes,14,3.818058377181273e-05,0.0015923566878980893,4.6218992501316766e-06,0.0052197463049557715,4,3,19.0,0.6666666666666666
ago,25,3.650072706994759e-05,0.0028434940855323024,0.0006195149563681168,0.0030825346050676996,1,3,6.333333333333333,0.0
agr0,176,0.00020722341121830212,0.020018198362147407,0.011572845531573403,0.004447901737194656,1,71,11.408450704225352,0.23943661971830985
agran,16,6.11524434319576e-05,0.0018198362147406734,0.0004319116511906733,0.0056802304933136006,1,4,15.25,0.5
ahren,37,6.864558960071201e-05,0.004208371246587807,4.5754726994917346e-05,0.010087850522074773,12,16,12.1875,0.1875
ahu,19,5.74198052967933e-05,0.0021610555050045497,9.814155379050885e-06,0.010585327458840511,8,9,10.333333333333334,0.4444444444444444
aiden,9,5.6287815511032285e-05,0.0010236578707916288,3.4651583039276873e-06,0.009523809523809525,7,3,9.666666666666666,0.3333333333333333
aika,54,6.337052378967432e-05,0.006141947224749773,0.002887721902900153,0.005461245703576318,1,15,14.133333333333333,0.13333333333333333
aiko,330,0.0005404259945567472,0.03753412192902639,0.05243251104215561,0.005707762751103577,1,210,13.49047619047619,0.5571428571428572
aikopsycho,9,2.7699499132841124e-05,0.0010236578707916288,0.00023513178954913708,0.007038819517104597,1,1,7.0,0.0
aimdem0n,18,3.312815975754353e-05,0.0020473157415832575,4.216036811080439e-06,0.006330519862720853,3,4,12.75,0.0
aimdll,97,0.00021936973697313477,0.011032757051865332,0.00019807330832152272,0.011328423273314079,10,84,16.166666666666668,0.5714285714285714
aimex,16,3.568074106574654e-05,0.0018198362147406734,0.0008135945039454564,0.008103275748077237,1,4,11.5,0.0
aimgreen,23,5.896539105501364e-05,0.002616014558689718,2.5139851254690205e-06,0.004934798532887909,9,7,11.857142857142858,0.14285714285714285
aimhunterr,30,0.00012289452567600486,0.0034121929026387624,9.835309276763121e-06,0.012946718944179685,14,21,15.333333333333334,0.47619047619047616
aimix,40,5.637768606511906e-05,0.004549590536851684,5.3686717750264475e-06,0.00601021439894065,16,12,10.666666666666666,0.5833333333333334
aimless,9,4.444296810936258e-05,0.0010236578707916288,3.2241278457058365e-07,0.00701262282227408,14,2,14.0,1.0
airen,9,3.4019644795533794e-05,0.0010236578707916288,4.081181589783465e-07,0.009527522254137324,3,2,13.0,0.0
